Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
93250	306	250	0	0	2	0	0	2363551	10	1	0	0	1	2444355	0	3354363	7	1067224	0	995138	1423434
93500	252	286	0	0	0	0	0	2325267	5	31	0	0	2	2452230	0	3313772	8	1100469	0	991914	1446121
93750	259	4268	0	0	0	0	0	2401074	36	5	0	0	1	2424047	0	3299723	6	1072571	0	1026957	1440747
94000	257	247	3	17	0	0	0	2390128	7	2	0	0	2	2412326	0	3387126	8	1092131	0	1007249	1454196
94250	319	259	0	0	4	0	0	2376593	5	15	0	0	11	2484123	0	3318043	24	1080084	0	993360	1491576
94500	263	246	0	0	0	16	0	2382468	11	4018	0	0	6	2439986	0	3398133	7	1106044	0	1002705	1460560
94750	279	296	0	0	2	0	0	2396721	49	3	0	0	3	2450755	0	3449382	43	1074238	0	1008950	1436899
95000	262	254	0	1	0	0	0	2412596	11	0	27	0	1	2522972	0	3385550	6	1089363	0	997314	1471525
95250	269	265	32	0	0	0	23	2360433	6	3	0	0	0	2534776	0	3438372	168	1079063	0	1032158	1487845
95500	255	255	0	0	0	0	0	2409578	4	17	0	0	0	2354588	0	3428011	7	1082283	0	1021792	1481739
95750	269	302	1	0	0	0	0	2434387	17	4	0	0	1	2451074	0	3413026	25	1078787	0	1015982	1473696
96000	256	253	14	0	1	0	0	2464043	6	4	0	0	2	2337049	0	3470210	20	1086929	0	1020648	1503529
96250	4299	267	0	0	0	0	0	2434620	6	3	0	0	2	2413292	0	3435286	7	1108354	0	1016990	1469702
96500	289	254	9	10	2	9	0	2462369	6	14	0	0	1	2336354	0	3467877	17	1095997	0	1011323	1500887
96750	266	286	0	0	2	0	0	2435887	68	7	0	0	0	2446134	9	3478788	24	1098894	0	1019468	1511328
97000	259	277	0	0	0	0	0	2488330	3	1	0	0	0	2476007	0	3452290	9	1095783	0	1024072	1513328
97250	260	270	0	0	1	0	0	2433044	12	17	0	0	4	2842577	0	3517588	6	1099971	0	1033019	1508381
97500	319	282	5058	0	2	0	0	2527828	5	16	0	0	4	2543035	0	3467780	4368	1109446	0	1044548	1526013
97750	261	297	0	0	2	0	0	2474694	12	0	0	0	4	2313259	0	3498707	53	1117985	0	1033769	1521172
98000	260	248	0	0	0	0	0	2502235	8	4	0	0	1036	2475967	0	3537576	6	1118720	0	1061422	1549002
98250	242	261	11	28	6	14	0	2470138	8	17	0	0	2	2378600	0	3497505	7	1126015	0	1048980	1523066
98500	4337	254	0	0	3	0	0	2514427	8	4020	1	0	0	2464852	0	3527028	8	1123440	0	1048834	1515959
98750	257	303	0	0	1	0	0	2546532	68	5	0	0	2	2463548	0	3565591	7	1132607	0	1048109	1542108
99000	8553	328	17	0	1	0	0	2524072	5	2	0	0	0	2504871	0	3512310	43	1137892	0	1040286	1522268
99250	322	284	0	0	1	0	0	2470753	9	8	0	0	0	2754557	0	3540795	24	1132804	0	1049629	1528328
99500	253	4380	0	0	1	0	0	2536543	7	3	0	0	1	2743304	0	3590971	8	1131540	0	1056183	1532627
99750	261	247	0	42	2	0	0	2529625	12	7	0	0	1	2653379	0	3547366	25	1151233	0	1056009	1519369
100000	251	262	0	0	2	0	0	2588667	6	4	0	0	2	2385829	0	3542996	7	1132121	0	1050446	1533244
100250	4316	252	17	0	9	1	0	2550664	8	18	13	0	1	2527421	0	3632973	6	1146180	0	1065546	1542350
100500	253	306	0	0	1	0	0	2569583	6	15	0	0	2	2396174	0	3592091	36	1148964	0	1080456	1552864
100750	266	260	3	0	0	0	0	2527567	72	2	0	0	11	2434536	0	3611136	6	1149545	27	1095896	1562816
101000	250	282	12	0	1	0	0	2554405	9	24	0	0	0	2415748	0	3639495	6	1145727	0	1095093	1588976
101250	261	285	0	17	3	0	0	2552412	11	20	0	0	0	2489927	0	3612640	8	1141471	0	1120000	1554958
101500	314	4317	0	0	26	0	0	2543009	11	14	0	0	1	2426564	0	3632832	6	1162989	0	1089708	1558550
101750	260	246	0	0	50	0	0	2567031	13	28	0	0	1	2562137	0	3750844	7	1168031	0	1091527	1575847
102000	251	257	0	0	1	9	0	2573443	9	20	17	0	0	2528902	0	3678857	8	1173923	0	1088503	1589872
102250	245	252	12	0	1	0	0	2544520	8	5	0	0	33	2583620	0	3653572	17	1160631	0	1114819	1597148
102500	4317	327	0	0	1	0	0	2614103	64	9	0	0	0	2585584	0	3747122	6	1168560	0	1120676	1590651
102750	253	261	0	0	0	0	0	2695984	10	24	0	0	0	2474678	0	3724488	9	1169004	0	1125250	1593258
103000	262	280	0	32	4017	0	0	2627842	1	9	0	0	1	2587552	0	3721742	7	1165771	0	1109948	1590690
103250	252	284	11	0	1	0	0	2601269	4	10	0	0	1	2528576	0	3733549	6	1164165	0	1124435	1579481
103500	299	383	29	0	4	0	0	2639152	17	32	0	0	0	2610381	0	3710212	8	1259186	0	1114507	1594338
103750	251	4359	0	0	4	0	0	2607284	11	24	0	0	4022	2488670	0	3698615	6	1310391	0	1135489	1583797
104000	249	295	3	0	1	0	0	2647540	8	25	0	0	15	2635604	0	3776713	10	1217002	0	1134294	1602075
104250	110	145	0	0	1	3	0	1164363	2	17	0	0	0	1173651	1	1640499	4	555707	0	516086	723631

